Date,Open,High,Low,Close,Adj Close,Volume
1999-04-01,28.379999,30.040001,28.379999,29.540001,19.972183,0
1999-05-01,29.889999,30.309999,28.520000,28.950001,19.573271,0
1999-06-01,28.760000,30.360001,28.620001,30.360001,20.526587,0
1999-07-01,30.500000,31.320000,29.389999,29.389999,19.936968,0
1999-08-01,29.320000,30.330000,28.180000,29.120001,19.753813,0
1999-09-01,29.350000,29.920000,28.049999,28.320000,19.211124,0
1999-10-01,28.290001,30.100000,27.660000,30.100000,20.481434,0
1999-11-01,29.980000,31.840000,29.879999,31.139999,21.189100,0
1999-12-01,31.320000,33.220001,31.320000,33.220001,22.604427,0
2000-01-01,32.980000,33.230000,31.320000,31.830000,21.844326,0
2000-02-01,32.230000,33.270000,31.680000,32.639999,22.400209,0
2000-03-01,33.080002,35.540001,32.509998,34.369999,23.587479,0
2000-04-01,33.950001,34.500000,30.000000,32.590000,22.452457,0
2000-05-01,33.040001,33.040001,30.389999,31.480000,21.687737,0
2000-06-01,32.240002,33.430000,32.240002,32.790001,22.590242,0
2000-07-01,33.119999,34.299999,31.820000,32.139999,22.201977,0
2000-08-01,32.230000,34.480000,32.230000,34.480000,23.818426,0
2000-09-01,34.610001,34.610001,32.430000,32.779999,22.644083,0
2000-10-01,32.560001,32.560001,29.770000,32.119999,22.253695,0
2000-11-01,31.969999,32.340000,28.930000,28.930000,20.043570,0
2000-12-01,29.090000,30.969999,27.799999,29.260000,20.272196,0
2001-01-01,28.280001,30.600000,28.280001,30.389999,21.189589,0
2001-02-01,30.520000,30.520000,27.530001,27.530001,19.195436,0
2001-03-01,27.540001,28.020000,24.670000,25.600000,17.849743,0
2001-04-01,25.209999,27.700001,24.219999,27.700001,19.372091,0
2001-05-01,28.070000,29.240000,27.660000,27.969999,19.560915,0
2001-06-01,28.120001,28.680000,26.940001,27.450001,19.197252,0
2001-07-01,27.610001,27.610001,26.139999,26.990000,18.924318,0
2001-08-01,27.110001,27.209999,25.260000,25.360001,17.781433,0
2001-09-01,25.340000,25.340000,21.400000,23.000000,16.126694,0
2001-10-01,22.889999,24.510000,22.889999,23.580000,16.594011,0
2001-11-01,24.080000,25.719999,24.080000,25.389999,17.867762,0
2001-12-01,25.180000,26.129999,25.110001,25.750000,18.121109,0
2002-01-01,25.850000,26.290001,24.820000,25.420000,17.958483,0
2002-02-01,25.240000,25.240000,24.290001,24.900000,17.591116,0
2002-03-01,25.450001,26.420000,25.450001,25.920000,18.311722,0
2002-04-01,25.889999,25.889999,24.360001,24.650000,17.466009,0
2002-05-01,24.840000,25.240000,24.020000,24.360001,17.260534,0
2002-06-01,23.780001,23.950001,22.180000,22.570000,15.992208,0
2002-07-01,22.059999,22.410000,18.309999,20.760000,14.752705,0
2002-08-01,20.209999,21.889999,19.070000,20.879999,14.837988,0
2002-09-01,20.070000,20.790001,18.700001,18.700001,13.288800,0
2002-10-01,19.360001,20.379999,17.670000,20.139999,14.368595,0
2002-11-01,20.490000,21.410000,19.920000,21.410000,15.274658,0
2002-12-01,21.340000,21.340000,19.980000,20.070000,14.318648,0
2003-01-01,20.690001,21.160000,19.309999,19.559999,14.022735,0
2003-02-01,19.639999,19.639999,18.680000,19.230000,13.786147,0
2003-03-01,19.110001,20.440001,18.360001,19.370001,13.886517,0
2003-04-01,19.590000,20.969999,19.590000,20.959999,15.084127,0
2003-05-01,20.959999,22.240000,20.959999,22.240000,16.005287,0
2003-06-01,22.330000,23.330000,22.330000,22.490000,16.185205,0
2003-07-01,22.660000,23.330000,22.660000,23.020000,16.621674,0
2003-08-01,22.780001,23.580000,22.420000,23.580000,17.026024,0
2003-09-01,23.900000,24.330000,23.209999,23.219999,16.766077,0
2003-10-01,23.730000,24.639999,23.730000,24.639999,17.857536,0
2003-11-01,24.870001,24.990000,24.320000,24.990000,18.111198,0
2003-12-01,25.280001,26.000000,24.870001,26.000000,18.843187,0
2004-01-01,25.950001,27.170000,25.950001,26.570000,19.341730,0
2004-02-01,26.650000,27.230000,26.389999,26.959999,19.625626,0
2004-03-01,27.250000,27.309999,25.760000,26.590000,19.356283,0
2004-04-01,26.750000,27.170000,26.020000,26.020000,19.068581,0
2004-05-01,26.260000,26.379999,25.379999,26.379999,19.332411,0
2004-06-01,26.410000,26.910000,26.260000,26.840000,19.669510,0
2004-07-01,26.559999,26.559999,25.340000,25.820000,19.061556,0
2004-08-01,25.920000,25.980000,24.850000,25.900000,19.120613,0
2004-09-01,25.980000,26.620001,25.930000,26.250000,19.379004,0
2004-10-01,26.650000,26.920000,25.910000,26.700001,19.784571,0
2004-11-01,26.719999,28.110001,26.719999,27.950001,20.710808,0
2004-12-01,28.360001,28.850000,27.990000,28.770000,21.318434,0
2005-01-01,28.500000,28.500000,27.540001,28.010000,20.894325,0
2005-02-01,28.200001,28.760000,28.100000,28.590000,21.326994,0
2005-03-01,28.760000,29.110001,27.600000,27.980000,20.871960,0
2005-04-01,27.820000,28.230000,26.990000,27.340000,20.473703,0
2005-05-01,27.480000,28.500000,27.340000,28.370001,21.245024,0
2005-06-01,28.629999,29.100000,28.410000,28.500000,21.342379,0
2005-07-01,28.600000,29.879999,28.600000,29.680000,22.302849,0
2005-08-01,29.730000,29.930000,28.969999,29.410000,22.099958,0
2005-09-01,29.450001,29.920000,29.120001,29.520000,22.182621,0
2005-10-01,29.510000,29.510000,28.150000,28.969999,21.874130,0
2005-11-01,28.879999,30.549999,28.879999,30.129999,22.749998,0
2005-12-01,30.520000,30.719999,30.000000,30.000000,22.651846,0
2006-01-01,30.490000,31.209999,30.480000,31.059999,23.578585,0
2006-02-01,31.100000,31.400000,30.430000,31.059999,23.578585,0
2006-03-01,31.360001,31.650000,30.820000,31.490000,23.905006,0
2006-04-01,31.520000,31.920000,31.209999,31.850000,24.277246,0
2006-05-01,31.730000,32.270000,30.440001,30.820000,23.492134,0
2006-06-01,31.230000,31.299999,29.549999,30.740000,23.431164,0
2006-07-01,30.980000,30.980000,29.719999,30.709999,23.510506,0
2006-08-01,30.540001,31.430000,30.389999,31.430000,24.061714,0
2006-09-01,31.590000,32.099998,31.150000,32.000000,24.498085,0
2006-10-01,31.870001,33.419998,31.870001,33.139999,25.474339,0
2006-11-01,32.860001,33.990002,32.810001,33.889999,26.050848,0
2006-12-01,33.799999,34.480000,33.799999,34.099998,26.212275,0
2007-01-01,34.070000,34.740002,33.880001,34.740002,26.840954,0
2007-02-01,34.950001,35.410000,34.009998,34.180000,26.408278,0
2007-03-01,34.090000,34.869999,33.279999,34.419998,26.593702,0
2007-04-01,34.520000,36.169998,34.520000,35.799999,27.778618,0
2007-05-01,35.889999,37.119999,35.889999,37.119999,28.802858,0
2007-06-01,37.279999,37.360001,36.070000,36.369999,28.220903,0
2007-07-01,36.779999,37.570000,35.130001,35.130001,27.363216,0
2007-08-01,35.340000,36.080002,33.939999,35.639999,27.760464,0
2007-09-01,36.029999,36.959999,35.099998,36.770000,28.640635,0
2007-10-01,37.279999,37.810001,36.250000,37.450001,29.296352,0
2007-11-01,36.459999,36.730000,34.029999,35.779999,27.989939,0
2007-12-01,35.570000,36.700001,34.910000,35.360001,27.661386,0
2008-01-01,34.869999,34.869999,31.480000,33.220001,26.128553,0
2008-02-01,33.689999,33.689999,32.060001,32.209999,25.334154,0
2008-03-01,32.209999,32.570000,30.740000,31.870001,25.066734,0
2008-04-01,32.970001,33.740002,32.070000,33.470001,26.451450,0
2008-05-01,34.029999,34.610001,33.470001,34.169998,27.004663,0
2008-06-01,33.840000,34.380001,31.230000,31.230000,24.681179,0
2008-07-01,31.330000,31.370001,29.639999,30.990000,24.608507,0
2008-08-01,30.840000,31.920000,30.500000,31.480000,24.997601,0
2008-09-01,31.330000,31.330000,27.049999,28.430000,22.575668,0
2008-10-01,28.270000,28.270000,20.370001,23.420000,18.688568,0
2008-11-01,23.370001,24.240000,18.000000,21.570000,17.212313,0
2008-12-01,19.580000,22.030001,19.580000,21.809999,17.403828,0
2009-01-01,22.469999,22.620001,19.500000,20.000000,16.083212,0
2009-02-01,20.020000,21.120001,17.920000,17.920000,14.410559,0
2009-03-01,17.049999,20.209999,16.440001,19.340000,15.552469,0
2009-04-01,19.650000,21.410000,19.650000,21.389999,17.319342,0
2009-05-01,21.490000,22.730000,21.490000,22.540001,18.250483,0
2009-06-01,23.160000,23.270000,21.830000,22.510000,18.226192,0
2009-07-01,22.629999,24.270000,21.490000,24.270000,19.750416,0
2009-08-01,24.670000,25.430000,24.129999,25.160000,20.474672,0
2009-09-01,24.600000,26.610001,24.520000,26.100000,21.239624,0
2009-10-01,25.400000,27.100000,25.270000,25.430000,20.788921,0
2009-11-01,25.570000,27.309999,25.570000,26.860001,21.957947,0
2009-12-01,27.209999,27.770000,26.900000,27.459999,22.448441,0
2010-01-01,27.920000,28.379999,26.500000,26.500000,21.802006,0
2010-02-01,26.889999,27.510000,26.080000,27.389999,22.534231,0
2010-03-01,27.709999,29.260000,27.709999,29.000000,23.858797,0
2010-04-01,29.219999,30.430000,29.219999,29.629999,24.377111,0
2010-05-01,30.040001,30.040001,26.670000,27.260000,22.427275,0
2010-06-01,26.730000,27.920000,25.600000,25.600000,21.061569,0
2010-07-01,25.500000,27.770000,25.370001,27.389999,22.643633,0
2010-08-01,27.980000,28.040001,26.020000,26.090000,21.568903,0
2010-09-01,26.889999,28.540001,26.889999,28.420000,23.495142,0
2010-10-01,28.549999,29.580000,28.299999,29.549999,24.555229,0
2010-11-01,29.559999,30.639999,29.500000,29.709999,24.688187,0
2010-12-01,30.350000,31.639999,30.350000,31.570000,26.233795,0
2011-01-01,31.950001,32.619999,31.850000,32.270000,26.962841,0
2011-02-01,32.820000,33.849998,32.740002,33.430000,27.932066,0
2011-03-01,32.889999,33.549999,31.730000,33.439999,27.940424,0
2011-04-01,33.610001,34.439999,32.910000,34.439999,28.897766,0
2011-05-01,34.349998,34.349998,33.200001,34.049999,28.570518,0
2011-06-01,33.250000,33.299999,31.950001,33.299999,27.941210,0
